"ID","Source","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance(mi)","Description","Street","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature(F)","Wind_Chill(F)","Humidity(%)","Pressure(in)","Visibility(mi)","Wind_Direction","Wind_Speed(mph)","Precipitation(in)","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"A-266786","Source2",3,"2016-12-26 18:38:55","2016-12-26 19:23:39","31.569109","-97.11644",NULL,NULL,"0.01","Slow traffic due to accident on I-35 Southbound at Exit 336 Jack Kultgen Expy.","US-77 N","Waco","McLennan","TX","76704","US","US/Central","KCNW","2016-12-26 18:55:00","71.6",NULL,"46.0","30.17","10.0","North","8.1",NULL,"Overcast",False,False,False,False,False,False,False,False,False,False,False,False,False,"Night","Night","Night","Day"
"A-266915","Source2",3,"2016-12-27 15:52:05","2016-12-27 16:55:00","31.627703000000004","-97.09581",NULL,NULL,"0.01","Accident on I-35 Southbound after Exit 342A @ Craven Ave.","US-77 S","Waco","McLennan","TX","76705","US","US/Central","KCNW","2016-12-27 15:55:00","69.8",NULL,"33.0","30.17","10.0","East","3.5",NULL,"Overcast",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-267279","Source2",3,"2016-12-29 13:55:23","2016-12-29 14:55:23","31.577118","-97.112709",NULL,NULL,"0.01","Accident on I-35 Southbound at Exit 337B TX-484 Loop.","State Highway Loop 484 W","Waco","McLennan","TX","76704","US","US/Central","KCNW","2016-12-29 13:55:00","60.8",NULL,"14.0","30.47","10.0","North","13.8",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-267288","Source2",3,"2016-12-29 14:38:28","2016-12-29 15:45:00","31.577118","-97.112709",NULL,NULL,"0.01","Queueing traffic left hand shoulder blocked and #1 / #2 lane blocked due to accident truck &amp; spillage involved on I-35 Southbound at Exit 337B / US-77 Bus.","State Highway Loop 484 W","Waco","McLennan","TX","76704","US","US/Central","KCNW","2016-12-29 14:55:00","60.8",NULL,"13.0","30.47","10.0","North","13.8",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-268424","Source2",3,"2017-01-05 17:59:59","2017-01-05 18:29:43","31.547992999999998","-97.125008",NULL,NULL,"0.0","Accident on I-35 Southbound at 7th St.","Interstate 35 S","Waco","McLennan","TX","76706","US","US/Central","KCNW","2017-01-05 19:55:00","32.0","22.1","60.0","30.14","10.0","North","13.8",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Night","Day","Day","Day"
"A-269333","Source2",3,"2017-01-10 11:10:44","2017-01-10 12:25:44","31.588127000000004","-97.109726",NULL,NULL,"0.01","Accident on I-35 Southbound near Exits 337A 338A Jack Kultgen Expy.","US-77 S","Waco","McLennan","TX","76705","US","US/Central","KCNW","2017-01-10 11:55:00","75.2",NULL,"47.0","30.04","10.0","SSW","18.4",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-285408","Source2",2,"2016-09-18 13:35:36","2016-09-18 14:20:36","31.553478000000002","-97.121765",NULL,NULL,"0.0","Accident on I-35 Southbound at 4th St.","US-77 S","Waco","McLennan","TX","76706","US","US/Central","KCNW","2016-09-18 10:54:00","86.0",NULL,"66.0","30.03","10.0","Calm",NULL,NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-302953","Source2",3,"2016-07-06 18:29:42","2016-07-06 18:59:42","31.542561","-97.127785",NULL,NULL,"0.0","Accident on Interstate 35 Northbound at 12th St.","S 12th St","Waco","Mclennan","TX","76706-1742","US","US/Central","KCNW","2016-07-06 18:55:00","95.0",NULL,"44.0","29.87","10.0","SSE","17.3",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-304271","Source2",1,"2016-07-15 10:19:57","2016-07-15 11:04:57","31.525941999999997","-97.21015899999999",NULL,NULL,"0.0","Accident on Northcrest Dr at Hilltop Dr.","Northcrest Dr","Waco","Mclennan","TX","76710-1041","US","US/Central","KACT","2016-07-15 09:51:00","84.9",NULL,"65.0","30.01","9.0","South","15.0",NULL,"Mostly Cloudy",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-306253","Source2",3,"2016-07-27 14:36:50","2016-07-27 15:21:50","31.569109","-97.11644",NULL,NULL,"0.0","Accident on I-35 Southbound at Forrest St.","US-77 N","Waco","McLennan","TX","76704","US","US/Central","KCNW","2016-07-27 14:55:00","95.0",NULL,"41.0","29.9","10.0","South","5.8",NULL,"Scattered Clouds",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
